地名,センター,燃やすごみ,燃やさないごみ,資源,びん,ぷら,紙,ぺっと
下夕地区,富山市環境センター,月 木,水1 水3,水2 水4,水2 水4,金1 金2 金3 金4,20160101,火2 火4
下夕林,富山市環境センター,月 木,金1 金3,水1 水3,水1 水3,火1 火2 火3 火4,水4,火1 火2 火3 火4
新村,富山市環境センター,火 金,木1 木3,水2 水4,水2 水4,月1 月2 月3 月4,水3,月1 月2 月3 月4
下大久保若葉台,富山市環境センター,火 金,木2 木4,水2 水4,水2 水4,月1 月2 月3 月4,水3,月1 月2 月3 月4
塩,富山市環境センター,火 金,木2 木4,水2 水4,水2 水4,月1 月2 月3 月4,水3,月1 月2 月3 月4
下大久保4～6区,富山市環境センター,火 金,月2 月4,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
神通,富山市環境センター,火 金,木2 木4,水2 水4,水2 水4,月1 月2 月3 月4,水3,月1 月2 月3 月4
神保,富山市環境センター,火 金,水1 水3,水2 水4,水2 水4,月1 月2 月3 月4,月1,*2 月 火 水 木 金 土 日
杉原地区(井田・上井田・上井田新),富山市環境センター,月 木,金1 金3,火2 火4,金2 金4,金1 金2 金3 金4,火3,火1 火3
杉原地区(井田・上井田・上井田新を除く),富山市環境センター,火 金,月1 月3,木2 木4,月2 月4,月1 月2 月3 月4,木1,木1 木3
総曲輪,富山市環境センター,月 木,水2 水4,水2 水4,金1 金3,金1 金2 金3 金4,金3,*2 月 火 水 木 金 土 日
高内2区,富山市環境センター,火 金,月2 月4,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
高内1区,富山市環境センター,月 木,金2 金4,水1 水3,水1 水3,火1 火2 火3 火4,水4,火1 火2 火3 火4
月岡,富山市環境センター,月 木,金1 金3,金1 金3,火2 火4,火1 火2 火3 火4,火4,*2 月 火 水 木 金 土 日
豊田,富山市環境センター,火 金,水1 水3,水1 水3,月2 月4,月1 月2 月3 月4,月4,*2 月 火 水 木 金 土 日
東部,富山市環境センター,火 金,水2 水4,水2 水4,木2 木4,木1 木2 木3 木4,木2,*2 月 火 水 木 金 土 日
長岡,富山市環境センター,月 木,水1 水3,水1 水3,火2 火4,火1 火2 火3 火4,火2,*2 月 火 水 木 金 土 日
長附全区,富山市環境センター,火 金,月2 月4,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
中大久保,富山市環境センター,火 金,木2 木4,水2 水4,水2 水4,月1 月2 月3 月4,水3,月1 月2 月3 月4
西田地方,富山市環境センター,月 木,水2 水4,水2 水4,金2 金4,金1 金2 金3 金4,金4,*2 月 火 水 木 金 土 日
蜷川,富山市環境センター,月 木,金2 金4,金2 金4,水1 水3,水1 水2 水3 水4,水1,*2 月 火 水 木 金 土 日
西大沢全区,富山市環境センター,月 木,金2 金4,水1 水3,水1 水3,火1 火2 火3 火4,水4,火1 火2 火3 火4
西塩野,富山市環境センター,火 金,月1 月3,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
仁歩地区,富山市環境センター,火 金,月1 月3,木2 木4,月2 月4,月1 月2 月3 月4,木1,木1 木3
野積地区,富山市環境センター,火 金,火1 火3,金2 金4,火2 火4,火1 火2 火3 火4,金1,金1 金3
浜黒崎,富山市環境センター,月 木,水1 水3,水1 水3,金1 金3,金1 金2 金3 金4,金3,*2 月 火 水 木 金 土 日
萩浦,富山市環境センター,月 木,水2 水4,水2 水4,火1 火3,火1 火2 火3 火4,火1,*2 月 火 水 木 金 土 日
八人町,富山市環境センター,月 木,水2 水4,水2 水4,金1 金3,金1 金2 金3 金4,金3,*2 月 火 水 木 金 土 日
針原,富山市環境センター,月 木,金2 金4,*1 20160101,火2 火4,火1 火2 火3 火4,火4,*2 月 火 水 木 金 土 日
速星,富山市環境センター,月 木,水2 水4,水1 水3,水1 水3,金1 金2 金3 金4,金3,*2 月 火 水 木 金 土 日
広田,富山市環境センター,火 金,水1 水3,水1 水3,月2 月4,木1 木2 木3 木4,木2,*2 月 火 水 木 金 土 日
東大久保,富山市環境センター,火 金,木1 木3,水2 水4,水2 水4,月1 月2 月3 月4,水3,月1 月2 月3 月4
古沢,富山市環境センター,火 金,水1 水3,水1 水3,月2 月4,月1 月2 月3 月4,月4,*2 月 火 水 木 金 土 日
藤ノ木,富山市環境センター,火 金,水2 水4,*1 20160101,木2 木4,木1 木2 木3 木4,木2,*2 月 火 水 木 金 土 日
船峅地区,富山市環境センター,月 木,火1 火3,水2 水4,水2 水4,金1 金2 金3 金4,水3,金1 金2 金3 金4
福沢地区,富山市環境センター,火 金,水2 水4,水1 水3,水1 水3,月1 月2 月3 月4,木2,木1 木3
古里,富山市環境センター,火 金,水1 水3,水2 水4,水2 水4,木1 木2 木3 木4,木2,*2 月 火 水 木 金 土 日
婦中熊野,富山市環境センター,月 木,水2 水4,水1 水3,水1 水3,金1 金2 金3 金4,金3,*2 月 火 水 木 金 土 日
星井町,富山市環境センター,月 木,水2 水4,水2 水4,金2 金4,金1 金2 金3 金4,金4,*2 月 火 水 木 金 土 日
堀川,富山市環境センター,火 金,木2 木4,木2 木4,水1 水3,水1 水2 水3 水4,水1,*2 月 火 水 木 金 土 日
堀川南,富山市環境センター,火 金,木2 木4,木2 木4,水2 水4,水1 水2 水3 水4,水4,*2 月 火 水 木 金 土 日
細入地域,富山市環境センター,月 木,水1 水3,水2 水4,火1 火3,金1 金2 金3 金4,日1,火2 火4
水橋中部,富山市環境センター,火 金,木1 木3,木1 木3,月1 月3,月1 月2 月3 月4,月3,*2 月 火 水 木 金 土 日
水橋西部,富山市環境センター,火 金,木1 木3,木1 木3,月1 月3,月1 月2 月3 月4,月3,*2 月 火 水 木 金 土 日
水橋東部,富山市環境センター,火 金,木1 木3,木1 木3,月1 月3,月1 月2 月3 月4,月3,*2 月 火 水 木 金 土 日
南花園町,富山市環境センター,火 金,月1 月3,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
宮川,富山市環境センター,月 木,水2 水4,水1 水3,水1 水3,火1 火2 火3 火4,火4,*2 月 火 水 木 金 土 日
室牧地区,富山市環境センター,月 木,木1 木3,月2 月4,木2 木4,木1 木2 木3 木4,月2,月1 月3
八幡,富山市環境センター,月 木,水1 水3,水1 水3,火2 火4,火1 火2 火3 火4,火2,*2 月 火 水 木 金 土 日
安野屋,富山市環境センター,月 木,水2 水4,水2 水4,金1 金3,金1 金2 金3 金4,金1,*2 月 火 水 木 金 土 日
柳町,富山市環境センター,月 木,水2 水4,水2 水4,金2 金4,金1 金2 金3 金4,金2,*2 月 火 水 木 金 土 日
山室,富山市環境センター,火 金,水2 水4,水2 水4,木1 木3,木1 木2 木3 木4,木3,*2 月 火 水 木 金 土 日
山室中部,富山市環境センター,火 金,水2 水4,水2 水4,木1 木3,木1 木2 木3 木4,木3,*2 月 火 水 木 金 土 日
八木山,富山市環境センター,月 木,金2 金4,水1 水3,水1 水3,火1 火2 火3 火4,水4,火1 火2 火3 火4
保内地区(福島・水谷望岳台・妙川寺市住・八尾コーポを除く),富山市環境センター,月 木,金1 金3,火2 火4,金2 金4,金1 金2 金3 金4,火3,火1 火3
八尾地区(上新町・諏訪町・西新町・東新町),富山市環境センター,火 金,水1 水3,水2 水4,水2 水4,水1 水2 水3 水4,水3,水1 水3
保内地区(福島・水谷望岳台・妙川寺市住・八尾コーポ),富山市環境センター,火 金,木1 木3,月2 月4,木2 木4,木1 木2 木3 木4,月2,月1 月3
八尾地区(天満町・下新町・今町・東町・西町・鏡町・産業道路沿線),富山市環境センター,月 木,水1 水3,水2 水4,水2 水4,水1 水2 水3 水4,水3,水1 水3
山田地域,富山市環境センター,月 木,火1 火3,火2 火4,月1 月3,水1 水2 水3 水4,金4,水2
四方,富山市環境センター,月 木,水1 水3,水1 水3,火2 火4,火1 火2 火3 火4,火2,*2 月 火 水 木 金 土 日
若草町,富山市環境センター,火 金,月2 月4,水1 水3,水1 水3,木1 木2 木3 木4,水4,木1 木2 木3 木4
