label,sublabel,description,styles,bgcolor
燃やさないごみ,,,img/moyasanai02.svg,#733b96
空き缶,,,img/shigen02.svg,#77ae1f
燃やすごみ,,,img/moyasu02.svg,#ea3b13
空きびん,,,img/bin02.svg,#2dc7aa
プラスチック製容器包装,,,img/bin02.svg,#ff1493
紙製容器包装・古紙,,,img/bin02.svg,#deb887
ペットボトル,,,img/bin02.svg,#c0c0c0
